+------------+--------+-----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close |  InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
| 2000-04-26 |  97.50 |           |        |          |        |          |           |          | 10564.63 |
| 2000-04-27 |  97.17 | PCT-0.005 |  95.18 |   PNL    |  97.17 |      110 |     87.77 |   219.64 | 10784.27 |
| 2000-04-28 |  96.57 |           |        |          |        |          |           |          | 10784.27 |
| 2000-05-01 |  97.88 | PCT-0.005 |  97.55 |   PNL    |  97.88 |      110 |     88.66 |    36.61 | 10820.88 |
| 2000-05-02 |  95.93 |           |        |          |        |          |           |          | 10820.88 |
| 2000-05-03 |  93.68 | PCT-0.005 |  95.84 |          |        |      112 |     86.13 |  -242.27 | 10578.60 |
| 2000-05-04 |  94.39 |           |        |          |        |      112 |     86.30 |  -163.07 | 10657.81 |
| 2000-05-05 |  95.53 |           |        |          |        |      112 |     86.66 |   -34.95 | 10785.93 |
| 2000-05-08 |  94.81 |           |        |          |        |      112 |     87.07 |  -115.32 | 10705.56 |
| 2000-05-09 |  94.06 |           |        |          |        |      112 |     87.30 |  -200.34 | 10620.53 |
| 2000-05-10 |  91.93 |           |        |          |        |      112 |     87.35 |  -437.96 | 10382.92 |
| 2000-05-11 |  94.03 |           |        |          |        |      112 |     87.46 |  -202.67 | 10618.21 |
| 2000-05-12 |  95.05 |           |        |          |        |      112 |     87.60 |   -88.53 | 10732.35 |
| 2000-05-15 |  96.70 |           |        |   PNL    |  96.70 |      112 |     88.73 |    95.51 | 10916.38 |
| 2000-05-16 |  97.63 |           |        |          |        |          |           |          | 10916.38 |
| 2000-05-17 |  96.61 |           |        |          |        |          |           |          | 10916.38 |
| 2000-05-18 |  95.43 | PCT-0.005 |  96.93 |          |        |      112 |     89.85 |  -167.73 | 10748.66 |
| 2000-05-19 |  93.93 |           |        |          |        |      112 |     89.87 |  -335.45 | 10580.93 |
| 2000-05-22 |  93.22 |           |        |          |        |      112 |     89.88 |  -414.66 | 10501.73 |
| 2000-05-23 |  91.85 |           |        |          |        |      112 |     89.88 |  -568.41 | 10347.98 |
| 2000-05-24 |  93.35 |           |        |          |        |      112 |     90.09 |  -400.68 | 10515.70 |
| 2000-05-25 |  91.75 |           |        |          |        |      112 |     90.09 |  -580.05 | 10336.33 |
| 2000-05-26 |  91.85 |           |        |          |        |      112 |     90.09 |  -568.41 | 10347.98 |
| 2000-05-30 |  94.85 |           |        |          |        |      112 |     90.09 |  -232.95 | 10683.44 |
| 2000-05-31 |  95.05 |           |        |          |        |      112 |     90.09 |  -209.66 | 10706.73 |
| 2000-06-01 |  96.72 |           |        |          |        |      112 |     90.09 |   -23.29 | 10893.09 |
| 2000-06-02 |  98.40 |           |        |   PNL    |  98.40 |      112 |     91.72 |   165.40 | 11081.78 |
| 2000-06-05 |  97.92 |           |        |          |        |          |           |          | 11081.78 |
| 2000-06-06 |  97.49 |           |        |          |        |          |           |          | 11081.78 |
| 2000-06-07 |  98.16 |           |        |          |        |          |           |          | 11081.78 |
| 2000-06-08 |  97.78 |           |        |          |        |          |           |          | 11081.78 |
| 2000-06-09 |  97.57 |           |        |          |        |          |           |          | 11081.78 |
| 2000-06-12 |  96.43 |           |        |          |        |          |           |          | 11081.78 |
| 2000-06-13 |  98.24 | PCT-0.005 |  96.38 |   PNL    |  98.24 |      114 |     91.98 |   211.03 | 11292.81 |
| 2000-06-14 |  98.40 |           |        |          |        |          |           |          | 11292.81 |
| 2000-06-15 |  98.61 |           |        |          |        |          |           |          | 11292.81 |
| 2000-06-16 |  97.80 |           |        |          |        |          |           |          | 11292.81 |
| 2000-06-19 |  99.05 | PCT-0.005 |  97.72 |   PNL    |  99.05 |      115 |     93.55 |   153.44 | 11446.26 |
| 2000-06-20 |  98.70 |           |        |          |        |          |           |          | 11446.26 |
| 2000-06-21 |  98.65 |           |        |          |        |          |           |          | 11446.26 |
| 2000-06-22 |  97.15 |           |        |          |        |          |           |          | 11446.26 |
| 2000-06-23 |  96.32 | PCT-0.005 |  97.28 |          |        |      117 |     92.04 |  -112.21 | 11334.05 |
| 2000-06-26 |  97.56 |           |        |   PNL    |  97.56 |      117 |     92.09 |    32.93 | 11479.19 |
| 2000-06-27 |  96.84 |           |        |          |        |          |           |          | 11479.19 |
| 2000-06-28 |  97.11 | PCT-0.005 |  97.15 |          |        |      118 |     92.99 |    -4.92 | 11474.27 |
| 2000-06-29 |  96.19 |           |        |          |        |      118 |     92.99 |  -113.17 | 11366.02 |
| 2000-06-30 |  96.92 |           |        |          |        |      118 |     93.00 |   -27.06 | 11452.12 |
| 2000-07-03 |  98.26 |           |        |   PNL    |  98.26 |      118 |     93.25 |   130.38 | 11609.57 |
| 2000-07-05 |  96.49 |           |        |          |        |          |           |          | 11609.57 |
| 2000-07-06 |  97.24 | PCT-0.005 |  96.69 |   PNL    |  97.24 |      120 |     92.69 |    65.05 | 11674.62 |
| 2000-07-07 |  98.80 |           |        |          |        |          |           |          | 11674.62 |
| 2000-07-10 |  98.63 |           |        |          |        |          |           |          | 11674.62 |
| 2000-07-11 |  98.84 |           |        |          |        |          |           |          | 11674.62 |
| 2000-07-12 |  99.49 |           |        |          |        |          |           |          | 11674.62 |
| 2000-07-13 |  99.93 |           |        |          |        |          |           |          | 11674.62 |
| 2000-07-14 | 100.91 |           |        |          |        |          |           |          | 11674.62 |
| 2000-07-17 | 100.74 |           |        |          |        |          |           |          | 11674.62 |
| 2000-07-18 |  99.92 |           |        |          |        |          |           |          | 11674.62 |
| 2000-07-19 |  99.11 | PCT-0.005 |  99.72 |          |        |      117 |     94.17 |   -70.74 | 11603.88 |
| 2000-07-20 | 100.49 |           |        |   PNL    | 100.49 |      117 |     94.60 |    90.24 | 11764.86 |
| 2000-07-21 |  98.53 |           |        |          |        |          |           |          | 11764.86 |
| 2000-07-24 |  97.97 | PCT-0.005 |  98.82 |          |        |      119 |     93.80 |  -101.72 | 11663.14 |
| 2000-07-25 |  98.28 |           |        |          |        |      119 |     93.84 |   -64.51 | 11700.35 |
| 2000-07-26 |  97.32 |           |        |          |        |      119 |     93.85 |  -178.63 | 11586.23 |
| 2000-07-27 |  96.99 |           |        |          |        |      119 |     93.85 |  -218.33 | 11546.53 |
| 2000-07-28 |  94.80 |           |        |          |        |      119 |     93.85 |  -478.82 | 11286.04 |
| 2000-07-31 |  95.40 |           |        |          |        |      119 |     93.85 |  -406.88 | 11357.98 |
| 2000-08-01 |  95.99 |           |        |          |        |      119 |     93.89 |  -337.41 | 11427.45 |
| 2000-08-02 |  96.47 |           |        |          |        |      119 |     94.08 |  -280.35 | 11484.50 |
| 2000-08-03 |  97.13 |           |        |          |        |      119 |     94.47 |  -200.96 | 11563.90 |
| 2000-08-04 |  97.65 |           |        |          |        |      119 |     94.70 |  -138.93 | 11625.93 |
| 2000-08-07 |  98.82 |           |        |   PNL    |  98.82 |      119 |     95.18 |     0.00 | 11764.86 |
| 2000-08-08 |  99.20 |           |        |          |        |          |           |          | 11764.86 |
| 2000-08-09 |  98.36 |           |        |          |        |          |           |          | 11764.86 |
| 2000-08-10 |  97.88 | PCT-0.005 |  98.43 |          |        |      119 |     95.38 |   -64.50 | 11700.36 |
| 2000-08-11 |  98.34 |           |        |          |        |      119 |     95.50 |    -9.93 | 11754.93 |
| 2000-08-14 |  99.59 |           |        |   PNL    |  99.59 |      119 |     96.49 |   138.93 | 11903.79 |
| 2000-08-15 |  99.51 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-16 |  99.16 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-17 | 100.20 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-18 |  99.86 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-21 | 100.41 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-22 | 100.24 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-23 | 100.64 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-24 | 100.95 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-25 | 100.91 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-28 | 101.25 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-29 | 101.27 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-30 | 100.30 |           |        |          |        |          |           |          | 11903.79 |
| 2000-08-31 | 101.64 | PCT-0.005 | 100.78 |   PNL    | 101.64 |      118 |     97.83 |   100.86 | 12004.66 |
| 2000-09-01 | 101.74 |           |        |          |        |          |           |          | 12004.66 |
| 2000-09-05 | 100.93 |           |        |          |        |          |           |          | 12004.66 |
| 2000-09-06 |  99.78 | PCT-0.005 | 100.86 |          |        |      119 |     97.00 |  -129.01 | 11875.65 |
| 2000-09-07 | 100.64 |           |        |          |        |      119 |     97.02 |   -27.28 | 11977.38 |
| 2000-09-08 |  99.95 |           |        |          |        |      119 |     97.06 |  -109.15 | 11895.51 |
| 2000-09-11 |  99.80 |           |        |          |        |      119 |     97.17 |  -126.52 | 11878.13 |
| 2000-09-12 |  99.07 |           |        |          |        |      119 |     97.24 |  -213.35 | 11791.31 |
| 2000-09-13 |  99.33 |           |        |          |        |      119 |     97.25 |  -182.34 | 11822.32 |
| 2000-09-14 |  99.83 |           |        |          |        |      119 |     97.36 |  -122.80 | 11881.86 |
| 2000-09-15 |  97.65 |           |        |          |        |      119 |     97.38 |  -382.71 | 11621.95 |
| 2000-09-18 |  96.75 |           |        | STOP_OUT |  96.75 |      119 |     97.38 |  -489.66 | 11515.00 |
| 2000-09-19 |  97.63 | PCT-0.005 |  97.06 |   PNL    |  97.63 |      118 |     93.74 |    66.59 | 11581.59 |
| 2000-09-20 |  96.91 |           |        |          |        |          |           |          | 11581.59 |
| 2000-09-21 |  95.43 | PCT-0.005 |  96.62 |          |        |      119 |     92.97 |  -141.77 | 11439.82 |
| 2000-09-22 |  97.17 |           |        |   PNL    |  97.17 |      119 |     92.97 |    64.67 | 11646.25 |
| 2000-09-25 |  96.48 |           |        |          |        |          |           |          | 11646.25 |
| 2000-09-26 |  95.24 | PCT-0.005 |  96.56 |          |        |      120 |     92.40 |  -158.01 | 11488.24 |
| 2000-09-27 |  95.75 |           |        |          |        |      120 |     92.40 |   -97.81 | 11548.44 |
| 2000-09-28 |  96.98 |           |        |   PNL    |  96.98 |      120 |     93.14 |    50.16 | 11696.41 |
| 2000-09-29 |  96.06 |           |        |          |        |          |           |          | 11696.41 |
| 2000-10-02 |  96.21 | PCT-0.005 |  96.50 |          |        |      121 |     92.08 |   -35.41 | 11661.01 |
| 2000-10-03 |  95.31 |           |        |          |        |      121 |     92.52 |  -144.15 | 11552.26 |
| 2000-10-04 |  96.10 |           |        |          |        |      121 |     92.52 |   -48.04 | 11648.37 |
| 2000-10-05 |  96.44 |           |        |          |        |      121 |     92.52 |    -7.58 | 11688.83 |
| 2000-10-06 |  94.35 |           |        |          |        |      121 |     92.52 |  -260.49 | 11435.93 |
| 2000-10-09 |  93.64 |           |        |          |        |      121 |     92.52 |  -346.47 | 11349.95 |
| 2000-10-10 |  92.09 |           |        | STOP_OUT |  92.09 |      121 |     92.52 |  -533.61 | 11162.80 |
| 2000-10-11 |  91.32 | PCT-0.005 |  92.05 |          |        |      121 |     86.55 |   -88.51 | 11074.29 |
| 2000-10-12 |  89.04 |           |        |          |        |      121 |     86.55 |  -364.18 | 10798.62 |
| 2000-10-13 |  92.01 |           |        |          |        |      121 |     86.55 |    -5.06 | 11157.74 |
| 2000-10-16 |  92.42 |           |        |   PNL    |  92.42 |      121 |     86.55 |    45.51 | 11208.32 |
| 2000-10-17 |  90.12 |           |        |          |        |          |           |          | 11208.32 |
| 2000-10-18 |  89.79 | PCT-0.005 |  88.70 |   PNL    |  89.79 |      126 |     82.63 |   136.94 | 11345.26 |
| 2000-10-19 |  93.18 |           |        |          |        |          |           |          | 11345.26 |
| 2000-10-20 |  93.57 |           |        |          |        |          |           |          | 11345.26 |
| 2000-10-23 |  93.99 |           |        |          |        |          |           |          | 11345.26 |
| 2000-10-24 |  93.36 |           |        |          |        |          |           |          | 11345.26 |
| 2000-10-25 |  91.17 | PCT-0.005 |  92.80 |          |        |      122 |     84.38 |  -198.89 | 11146.37 |
| 2000-10-26 |  91.42 |           |        |          |        |      122 |     84.38 |  -168.30 | 11176.96 |
| 2000-10-27 |  93.15 |           |        |   PNL    |  93.15 |      122 |     84.38 |    43.35 | 11388.61 |
| 2000-10-30 |  93.99 |           |        |          |        |          |           |          | 11388.61 |
| 2000-10-31 |  95.61 |           |        |          |        |          |           |          | 11388.61 |
| 2000-11-01 |  95.29 |           |        |          |        |          |           |          | 11388.61 |
| 2000-11-02 |  95.44 |           |        |          |        |          |           |          | 11388.61 |
| 2000-11-03 |  95.50 |           |        |          |        |          |           |          | 11388.61 |
| 2000-11-06 |  96.16 |           |        |          |        |          |           |          | 11388.61 |
| 2000-11-07 |  96.14 |           |        |          |        |          |           |          | 11388.61 |
| 2000-11-08 |  94.01 |           |        |          |        |          |           |          | 11388.61 |
| 2000-11-09 |  93.66 | PCT-0.005 |  93.64 |   PNL    |  93.66 |      121 |     86.62 |     2.53 | 11391.14 |
| 2000-11-10 |  91.38 |           |        |          |        |          |           |          | 11391.14 |
| 2000-11-13 |  90.67 | PCT-0.005 |  90.71 |          |        |      125 |     84.14 |    -5.23 | 11385.91 |
| 2000-11-14 |  93.05 |           |        |   PNL    |  93.05 |      125 |     86.17 |   292.61 | 11683.75 |
| 2000-11-15 |  93.34 |           |        |          |        |          |           |          | 11683.75 |
| 2000-11-16 |  91.88 |           |        |          |        |          |           |          | 11683.75 |
| 2000-11-17 |  91.39 | PCT-0.005 |  91.84 |          |        |      127 |     86.35 |   -57.07 | 11626.68 |
| 2000-11-20 |  90.08 |           |        |          |        |      127 |     86.44 |  -222.98 | 11460.77 |
| 2000-11-21 |  90.54 |           |        |          |        |      127 |     86.54 |  -164.57 | 11519.18 |
| 2000-11-22 |  88.38 |           |        |          |        |      127 |     86.54 |  -439.31 | 11244.44 |
| 2000-11-24 |  90.19 |           |        |          |        |      127 |     86.72 |  -209.70 | 11474.05 |
| 2000-11-27 |  90.98 |           |        |          |        |      127 |     86.81 |  -108.84 | 11574.91 |
| 2000-11-28 |  89.41 |           |        |          |        |      127 |     86.81 |  -307.91 | 11375.83 |
| 2000-11-29 |  89.25 |           |        |          |        |      127 |     86.81 |  -329.15 | 11354.60 |
| 2000-11-30 |  88.47 |           |        |          |        |      127 |     86.81 |  -427.37 | 11256.38 |
| 2000-12-01 |  88.43 |           |        |          |        |      127 |     86.81 |  -432.67 | 11251.07 |
| 2000-12-04 |  89.18 |           |        |          |        |      127 |     86.81 |  -337.12 | 11346.63 |
| 2000-12-05 |  92.11 |           |        |   PNL    |  92.11 |      127 |     86.81 |    34.50 | 11718.25 |
| 2000-12-06 |  90.64 |           |        |          |        |          |           |          | 11718.25 |
| 2000-12-07 |  89.39 | PCT-0.005 |  90.21 |          |        |      129 |     84.60 |  -105.15 | 11613.10 |
| 2000-12-08 |  89.60 |           |        |          |        |      129 |     87.13 |   -78.19 | 11640.06 |
| 2000-12-11 |  92.72 |           |        |   PNL    |  92.72 |      129 |     87.34 |   323.54 | 12041.79 |
| 2000-12-12 |  92.32 |           |        |          |        |          |           |          | 12041.79 |
| 2000-12-13 |  91.05 |           |        |          |        |          |           |          | 12041.79 |
| 2000-12-14 |  89.89 | PCT-0.005 |  90.88 |          |        |      132 |     85.68 |  -129.67 | 11912.12 |
| 2000-12-15 |  87.86 |           |        |          |        |      132 |     85.72 |  -397.68 | 11644.11 |
| 2000-12-18 |  89.04 |           |        |          |        |      132 |     85.72 |  -242.71 | 11799.08 |
| 2000-12-19 |  87.22 |           |        |          |        |      132 |     85.72 |  -482.08 | 11559.70 |
| 2000-12-20 |  84.70 |           |        | STOP_OUT |  84.70 |      132 |     85.72 |  -815.55 | 11226.24 |
| 2000-12-21 |  85.29 | PCT-0.005 |  84.53 |   PNL    |  85.29 |      132 |     79.82 |    99.63 | 11325.86 |
| 2000-12-22 |  87.84 |           |        |          |        |          |           |          | 11325.86 |
| 2000-12-26 |  88.79 |           |        |          |        |          |           |          | 11325.86 |
| 2000-12-27 |  89.44 |           |        |          |        |          |           |          | 11325.86 |
| 2000-12-28 |  89.71 |           |        |          |        |          |           |          | 11325.86 |
| 2000-12-29 |  88.01 |           |        |          |        |          |           |          | 11325.86 |
| 2001-01-02 |  86.42 | PCT-0.005 |  88.56 |          |        |      127 |     81.70 |  -271.58 | 11054.29 |
