Date,Close,InSignal,Entry,ExSignal,Exit,Position,StopLevel,MTM,Equity
2000-03-28,100.5443,,,,,,,0.0,10896.9082
2000-03-29,100.6483,,,,,,,0.0,10896.9082
2000-03-30,98.9636,,,,,,,0.0,10896.9082
2000-03-31,100.0868,RTN3_-0.02,99.5876,PNL,100.0868,109.0,92.391,54.4113,10951.3195
2000-04-03,100.6692,,,,,,,0.0,10951.3195
2000-04-04,99.9204,,,,,,,0.0,10951.3195
2000-04-05,99.2964,,,,,,,0.0,10951.3195
2000-04-06,100.1596,,,,,,,0.0,10951.3195
2000-04-07,100.794,,,,,,,0.0,10951.3195
2000-04-10,100.3988,,,,,,,0.0,10951.3195
2000-04-11,100.1075,,,,,,,0.0,10951.3195
2000-04-12,97.3621,,,,,,,0.0,10951.3195
2000-04-13,96.0101,RTN3_-0.02,98.1525,,,111.0,88.4206,-237.7998,10713.5197
2000-04-14,90.5191,,,,,111.0,88.4206,-847.3075,10104.012
2000-04-17,93.6806,,,,,111.0,88.4206,-496.3788,10454.9407
2000-04-18,96.1557,,,,,111.0,88.4206,-221.6404,10729.6791
2000-04-19,95.2613,,,,,111.0,88.4206,-320.9188,10630.4007
2000-04-20,95.719,,,,,111.0,88.4206,-270.1208,10681.1987
2000-04-24,94.6789,,,,,111.0,88.4206,-385.563,10565.7565
2000-04-25,98.61,,,PNL,98.61,111.0,88.4206,50.7835,11002.103
2000-04-26,97.4973,,,,,,,0.0,11002.103
2000-04-27,97.1749,,,,,,,0.0,11002.103
2000-04-28,96.5717,,,,,,,0.0,11002.103
2000-05-01,97.8821,RTN3_-0.02,97.5493,PNL,97.8821,112.0,88.6617,37.2726,11039.3756
2000-05-02,95.9269,,,,,,,0.0,11039.3756
2000-05-03,93.6806,,,,,,,0.0,11039.3756
2000-05-04,94.3878,RTN3_-0.02,94.5125,,,116.0,85.2121,-14.4764,11024.8992
2000-05-05,95.5317,,,PNL,95.5317,116.0,86.6625,118.2253,11157.6009
2000-05-08,94.8141,,,,,,,0.0,11157.6009
2000-05-09,94.055,,,,,,,0.0,11157.6009
2000-05-10,91.9334,,,,,,,0.0,11157.6009
2000-05-11,94.0342,RTN3_-0.02,93.2646,PNL,94.0342,119.0,85.7926,91.5799,11249.1807
2000-05-12,95.0533,,,,,,,0.0,11249.1807
2000-05-15,96.6965,,,,,,,0.0,11249.1807
2000-05-16,97.6324,,,,,,,0.0,11249.1807
2000-05-17,96.6133,,,,,,,0.0,11249.1807
2000-05-18,95.4277,,,,,,,0.0,11249.1807
2000-05-19,93.9301,,,,,,,0.0,11249.1807
2000-05-22,93.223,RTN3_-0.02,94.0134,,,119.0,86.6551,-94.055,11155.1258
2000-05-23,91.8502,,,,,119.0,86.6551,-257.4158,10991.765
2000-05-24,93.3477,,,,,119.0,86.8632,-79.2085,11169.9722
2000-05-25,91.7462,,,,,119.0,87.0056,-269.7894,10979.3913
2000-05-26,91.8502,,,,,119.0,87.0056,-257.4158,10991.765
2000-05-30,94.8454,,,PNL,94.8454,119.0,87.5207,99.0083,11348.189
2000-05-31,95.0533,,,,,,,0.0,11348.189
2000-06-01,96.7173,,,,,,,0.0,11348.189
2000-06-02,98.402,,,,,,,0.0,11348.189
2000-06-05,97.9236,,,,,,,0.0,11348.189
2000-06-06,97.4868,,,,,,,0.0,11348.189
2000-06-07,98.1628,,,,,,,0.0,11348.189
2000-06-08,97.778,,,,,,,0.0,11348.189
2000-06-09,97.57,,,,,,,0.0,11348.189
2000-06-12,96.4261,,,,,,,0.0,11348.189
2000-06-13,98.2356,,,,,,,0.0,11348.189
2000-06-14,98.402,,,,,,,0.0,11348.189
2000-06-15,98.61,,,,,,,0.0,11348.189
2000-06-16,97.7998,,,,,,,0.0,11348.189
2000-06-19,99.0507,,,,,,,0.0,11348.189
2000-06-20,98.6963,,,,,,,0.0,11348.189
2000-06-21,98.6545,,,,,,,0.0,11348.189
2000-06-22,97.1535,,,,,,,0.0,11348.189
2000-06-23,96.3196,,,,,,,0.0,11348.189
2000-06-26,97.56,RTN3_-0.02,96.9867,PNL,97.56,117.0,92.0935,67.0801,11415.2691
2000-06-27,96.8407,,,,,,,0.0,11415.2691
2000-06-28,97.1118,,,,,,,0.0,11415.2691
2000-06-29,96.1944,,,,,,,0.0,11415.2691
2000-06-30,96.9241,,,,,,,0.0,11415.2691
2000-07-03,98.2584,,,,,,,0.0,11415.2691
2000-07-05,96.4864,,,,,,,0.0,11415.2691
2000-07-06,97.2368,,,,,,,0.0,11415.2691
2000-07-07,98.8005,,,,,,,0.0,11415.2691
2000-07-10,98.6337,,,,,,,0.0,11415.2691
2000-07-11,98.8422,,,,,,,0.0,11415.2691
2000-07-12,99.4885,,,,,,,0.0,11415.2691
2000-07-13,99.9263,,,,,,,0.0,11415.2691
2000-07-14,100.9062,,,,,,,0.0,11415.2691
2000-07-17,100.7394,,,,,,,0.0,11415.2691
2000-07-18,99.9159,,,,,,,0.0,11415.2691
2000-07-19,99.1133,,,,,,,0.0,11415.2691
2000-07-20,100.4892,,,,,,,0.0,11415.2691
2000-07-21,98.5295,,,,,,,0.0,11415.2691
2000-07-24,97.9666,,,,,,,0.0,11415.2691
2000-07-25,98.2793,,,,,,,0.0,11415.2691
2000-07-26,97.3203,RTN3_-0.02,98.05,,,116.0,92.7109,-84.6445,11330.6246
2000-07-27,96.9867,,,,,116.0,92.7113,-123.3432,11291.9258
2000-07-28,94.7977,,,,,116.0,92.7113,-377.2684,11038.0007
2000-07-31,95.4022,,,,,116.0,92.7113,-307.1394,11108.1296
2000-08-01,95.986,,,,,116.0,92.7551,-239.4256,11175.8435
2000-08-02,96.4654,,,,,116.0,92.9468,-183.8071,11231.462
2000-08-03,97.1326,,,,,116.0,93.336,-106.4142,11308.8549
2000-08-04,97.6539,,,,,116.0,93.5678,-45.9492,11369.3199
2000-08-07,98.8214,,,PNL,98.8214,116.0,94.9029,89.4831,11504.7522
2000-08-08,99.1966,,,,,,,0.0,11504.7522
2000-08-09,98.3627,,,,,,,0.0,11504.7522
2000-08-10,97.8832,,,,,,,0.0,11504.7522
2000-08-11,98.3418,,,,,,,0.0,11504.7522
2000-08-14,99.5927,,,,,,,0.0,11504.7522
2000-08-15,99.5094,,,,,,,0.0,11504.7522
2000-08-16,99.155,,,,,,,0.0,11504.7522
