InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2021-04-16,2021-04-16,67,0,LEX,411.8305,PNL,411.8404,27994.0533,0.662,0.0,17994.7153
2021-04-19,2021-04-23,68,4,LEX,410.8534,PNL,411.3271,27994.7153,32.2149,0.0012,18026.9302
2021-04-26,2021-04-26,68,0,LEX,412.018,PNL,412.1858,28026.9302,11.4092,0.0004,18038.3393
2021-04-30,2021-05-03,68,1,LEX,412.2056,PNL,412.7682,28038.3393,38.2579,0.0014,18076.5973
2021-05-10,2021-05-25,67,11,LEX,417.0123,EXPIRY,412.8077,28076.5973,-281.7144,-0.01,17794.8829
2021-06-03,2021-06-03,67,0,LEX,412.4227,PNL,413.3308,27794.8829,60.8381,0.0022,17855.7209
2021-06-07,2021-06-10,66,3,LEX,417.1012,PNL,418.1079,27855.7209,66.4452,0.0024,17922.1661
2021-06-11,2021-06-11,66,0,LEX,418.6902,PNL,418.7988,27922.1661,7.1651,0.0003,17929.3312
2021-06-14,2021-06-14,66,0,LEX,418.9172,PNL,419.7365,27929.3312,54.0698,0.0019,17983.401
2021-06-23,2021-06-24,66,1,LEX,419.0599,PNL,420.9512,27983.401,124.831,0.0045,18108.2319
2021-06-25,2021-06-25,66,0,LEX,421.7434,PNL,422.4465,28108.2319,46.4027,0.0017,18154.6346
2021-06-28,2021-06-28,66,0,LEX,423.001,PNL,423.2981,28154.6346,19.6061,0.0007,18174.2407
2021-06-30,2021-06-30,66,0,LEX,423.0406,PNL,423.8824,28174.2407,55.5531,0.002,18229.7939
2021-07-01,2021-07-01,66,0,LEX,424.6845,PNL,426.2292,28229.7939,101.9545,0.0036,18331.7484
2021-07-02,2021-07-02,66,0,LEX,427.4571,PNL,429.4871,28331.7484,133.9789,0.0047,18465.7273
2021-07-06,2021-07-07,66,1,LEX,429.5465,PNL,430.2199,28465.7273,44.4402,0.0016,18510.1674
2021-07-08,2021-07-08,67,0,LEX,424.5953,PNL,426.7144,28510.1674,141.9813,0.005,18652.1488
2021-07-12,2021-07-12,66,0,LEX,431.1804,PNL,432.8143,28652.1488,107.8372,0.0038,18759.9859
2021-07-22,2021-07-22,66,0,LEX,430.4971,PNL,431.2101,28759.9859,47.0562,0.0016,18807.0422
2021-07-23,2021-07-23,66,0,LEX,433.25,PNL,435.6464,28807.0422,158.1619,0.0055,18965.204
2021-07-26,2021-07-26,66,0,LEX,435.0225,PNL,436.7158,28965.204,111.7579,0.0039,19076.9619
2021-08-04,2021-08-05,66,1,LEX,435.488,PNL,437.4486,29076.9619,129.4034,0.0045,19206.3653
2021-08-06,2021-08-06,66,0,LEX,437.7853,PNL,438.1715,29206.3653,25.4875,0.0009,19231.8528
2021-08-09,2021-08-10,66,1,LEX,438.1418,PNL,438.3596,29231.8528,14.3781,0.0005,19246.2309
2021-08-12,2021-08-12,66,0,LEX,439.2905,PNL,440.7659,29246.2309,97.3796,0.0033,19343.6105
2021-08-13,2021-08-13,66,0,LEX,441.2413,PNL,441.568,29343.6105,21.5681,0.0007,19365.1786
2021-08-16,2021-08-16,66,0,LEX,440.1916,PNL,442.6078,29365.1786,159.4683,0.0054,19524.647
2021-08-26,2021-08-27,66,1,LEX,444.2318,PNL,445.8558,29524.647,107.1843,0.0036,19631.8313
2021-08-30,2021-08-30,66,0,LEX,446.5688,PNL,447.8165,29631.8313,82.3491,0.0028,19714.1803
2021-09-03,2021-09-03,66,0,LEX,447.5689,PNL,448.6582,29714.1803,71.8902,0.0024,19786.0705
2021-09-07,2021-09-20,66,9,LEX,448.2918,STOP_OUT,431.181,29786.0705,-1129.3122,-0.0379,18656.7583
2021-09-23,2021-09-23,65,0,LEX,436.9527,PNL,440.2607,28656.7583,215.0229,0.0075,18871.7812
2021-09-24,2021-09-24,65,0,LEX,438.5322,PNL,440.9859,28871.7812,159.4924,0.0055,19031.2737
2021-09-27,2021-09-30,65,3,LEX,439.8932,STOP_OUT,426.3132,29031.2737,-882.6961,-0.0304,18148.5776
2021-10-07,2021-10-07,64,0,LEX,435.5023,PNL,435.7705,28148.5776,17.1655,0.0006,18165.7431
2021-10-08,2021-10-14,64,4,LEX,436.5851,PNL,439.5852,28165.7431,192.0058,0.0068,18357.7489
2021-10-15,2021-10-15,64,0,LEX,441.8204,PNL,442.933,28357.7489,71.2078,0.0025,18428.9568
2021-10-18,2021-10-18,64,0,LEX,441.0455,PNL,444.2443,28428.9568,204.7225,0.0072,18633.6793
2021-10-20,2021-10-20,63,0,LEX,448.1584,PNL,449.4299,28633.6793,80.1088,0.0028,18713.7881
2021-10-21,2021-10-21,63,0,LEX,448.7941,PNL,450.6022,28713.7881,113.9054,0.004,18827.6935
2021-10-22,2021-10-25,64,1,LEX,450.1452,PNL,452.5493,28827.6935,153.8609,0.0053,18981.5543
2021-10-27,2021-10-28,63,1,LEX,453.4433,PNL,455.301,28981.5543,117.0347,0.004,19098.589
2021-10-29,2021-10-29,64,0,LEX,452.8671,PNL,456.2249,29098.589,214.8951,0.0074,19313.4841
2021-11-01,2021-11-02,64,1,LEX,457.2679,PNL,458.8574,29313.4841,101.7269,0.0035,19415.211
2021-11-03,2021-11-03,64,0,LEX,458.2614,PNL,461.6588,29415.211,217.4388,0.0074,19632.6498
2021-11-04,2021-11-04,64,0,LEX,462.2946,PNL,463.8344,29632.6498,98.5472,0.0033,19731.197
2021-11-05,2021-11-16,63,7,LEX,466.1888,PNL,466.1888,29731.197,0.0013,0.0,19731.1983
2021-11-17,2021-11-18,63,1,LEX,465.9107,PNL,466.6359,29731.1983,45.6873,0.0015,19776.8856
2021-11-19,2021-12-07,63,11,LEX,466.5166,EXPIRY,465.1954,29776.8856,-83.2373,-0.0028,19693.6483
2021-12-08,2021-12-08,63,0,LEX,465.6126,PNL,466.4272,29693.6483,51.3185,0.0017,19744.9667
2021-12-09,2021-12-10,63,1,LEX,465.0663,PNL,467.6392,29744.9667,162.0944,0.0054,19907.0611
2021-12-13,2021-12-15,64,2,LEX,467.0928,PNL,467.5001,29907.0611,26.0695,0.0009,19933.1306
2021-12-16,2021-12-27,63,6,LEX,469.4572,PNL,475.7819,29933.1306,398.4601,0.0133,20331.5906
