InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2022-08-04,2022-08-10,85,4,NDAY,414.37,PNL,419.99,35374.884,477.6991,0.0135,25852.5831
2022-08-11,2022-08-12,84,1,NDAY,422.99,PNL,427.1,35852.5831,345.2417,0.0096,26197.8248
2022-08-25,2022-08-25,87,0,NDAY,415.24,PNL,419.51,36197.8248,371.4917,0.0103,26569.3165
2022-09-01,2022-09-01,93,0,NDAY,392.89,PNL,396.42,36569.3165,328.29,0.009,26897.6065
2022-09-08,2022-09-08,93,0,NDAY,395.39,PNL,400.38,36897.6065,464.0691,0.0126,27361.6756
2022-09-15,2022-09-23,95,6,NDAY,392.96,EXPIRY,367.95,37361.6756,-2375.9481,-0.0636,24985.7275
2022-09-29,2022-10-04,95,3,NDAY,366.81,PNL,377.97,34985.7275,1060.2,0.0303,26045.9275
2022-10-13,2022-10-13,103,0,NDAY,349.21,PNL,365.97,36045.9275,1726.281,0.0479,27772.2085
2022-10-20,2022-10-21,102,1,NDAY,368.03,PNL,374.29,37772.2085,638.521,0.0169,28410.7296
2022-11-03,2022-11-04,103,1,NDAY,371.47,PNL,376.35,38410.7296,502.641,0.0131,28913.3706
2022-11-17,2022-11-17,99,0,NDAY,390.46,PNL,394.24,38913.3706,374.22,0.0096,29287.5906
2022-12-01,2022-12-09,96,6,NDAY,408.77,EXPIRY,393.28,39287.5906,-1487.039,-0.0379,27800.5515
2022-12-15,2022-12-23,95,6,NDAY,394.3,EXPIRY,382.91,37800.5515,-1082.049,-0.0286,26718.5025
2022-12-29,2022-12-29,96,0,NDAY,379.63,PNL,383.44,36718.5025,365.76,0.01,27084.2625
2023-01-05,2023-01-06,97,1,NDAY,381.72,PNL,388.08,37084.2625,616.919,0.0166,27701.1815
2023-01-19,2023-01-20,96,1,NDAY,389.36,PNL,395.88,37701.1815,625.921,0.0166,28327.1025
2023-02-23,2023-03-03,95,6,NDAY,401.56,PNL,404.19,38327.1025,249.85,0.0065,28576.9525
2023-03-09,2023-03-17,96,6,NDAY,399.74,EXPIRY,389.99,38576.9525,-936.0,-0.0243,27640.9525
2023-03-30,2023-03-31,93,1,NDAY,404.09,PNL,409.39,37640.9525,492.9009,0.0131,28133.8534
