InDate,ExDate,Position,Duration,InSignal,Entry,ExSignal,Exit,DollarBase,Value,TradeRtn,PNL
2000-11-14,2000-11-14,115,0,NDAY,91.9424,PNL,93.0502,10662.4205,127.3901,0.0119,789.8106
2000-11-21,2000-11-21,119,0,NDAY,90.2077,PNL,90.5422,10789.8106,39.7951,0.0037,829.6057
2000-11-28,2000-12-05,119,5,NDAY,90.3749,PNL,92.1096,10829.6057,206.4334,0.0191,1036.0391
2001-01-02,2001-01-03,124,1,NDAY,88.5556,PNL,90.5683,11036.0391,249.569,0.0226,1285.6081
2001-01-16,2001-01-16,127,0,NDAY,88.5556,PNL,89.1216,11285.6081,71.8885,0.0064,1357.4967
2001-02-20,2001-02-28,129,6,NDAY,87.9116,EXPIRY,83.1551,11357.4967,-613.5891,-0.054,743.9075
2001-03-13,2001-03-13,134,0,NDAY,80.1026,PNL,80.5185,10743.9075,55.7364,0.0052,799.6439
2001-04-03,2001-04-05,140,2,NDAY,76.6723,PNL,77.3921,10799.6439,100.7722,0.0093,900.416
2001-04-17,2001-04-17,138,0,NDAY,78.9123,PNL,80.2241,10900.416,181.0187,0.0166,1081.4348
2001-04-24,2001-04-25,134,1,NDAY,82.417,PNL,82.8543,11081.4348,58.5913,0.0053,1140.0261
2001-05-08,2001-05-16,130,6,NDAY,85.3365,PNL,86.7424,11140.0261,182.7717,0.0164,1322.7978
2001-05-29,2001-06-05,131,5,NDAY,86.2513,PNL,86.6415,11322.7978,51.1139,0.0045,1373.9117
2001-06-12,2001-06-12,135,0,NDAY,83.9911,PNL,84.6772,11373.9117,92.6283,0.0081,1466.54
2001-06-19,2001-06-20,138,1,NDAY,82.557,PNL,82.5907,11466.54,4.6559,0.0004,1471.196
2001-06-26,2001-06-26,140,0,NDAY,81.5586,PNL,81.9971,11471.196,61.3882,0.0054,1532.5841
2001-07-17,2001-07-17,142,0,NDAY,81.0864,PNL,82.1927,11532.5841,157.0998,0.0136,1689.6839
2001-07-24,2001-07-25,145,1,NDAY,80.2769,PNL,80.3443,11689.6839,9.7781,0.0008,1699.4621
2001-07-31,2001-07-31,143,0,NDAY,81.6261,PNL,81.8622,11699.4621,33.7635,0.0029,1733.2256
2001-08-07,2001-08-07,144,0,NDAY,81.1336,PNL,81.4709,11733.2256,48.5709,0.0041,1781.7965
2001-08-14,2001-08-22,145,6,NDAY,81.0459,EXPIRY,78.9411,11781.7965,-305.1914,-0.0259,1476.6051
2001-08-28,2001-09-06,143,6,NDAY,79.7911,EXPIRY,74.7249,11476.6051,-724.4654,-0.0631,752.1396
2001-10-30,2001-11-01,147,2,NDAY,72.6896,PNL,73.475,10752.1396,115.461,0.0107,867.6007
2001-12-04,2001-12-04,140,0,NDAY,77.1383,PNL,78.0659,10867.6007,129.8729,0.012,997.4736
2001-12-11,2001-12-18,141,5,NDAY,77.8019,PNL,77.8561,10997.4736,7.6386,0.0007,1005.1122
2002-01-08,2002-01-16,138,6,NDAY,79.3536,EXPIRY,76.6562,11005.1122,-372.2457,-0.0338,632.8665
2002-01-29,2002-01-29,137,0,NDAY,77.356,STOP_OUT,74.9304,10632.8665,-332.3149,-0.0313,300.5516
2002-02-05,2002-02-08,138,3,NDAY,74.3324,PNL,74.8013,10300.5516,64.6979,0.0063,365.2494
2002-02-19,2002-02-20,138,1,NDAY,74.8421,PNL,75.141,10365.2494,41.2518,0.004,406.5013
2002-03-19,2002-03-19,130,0,NDAY,79.9284,PNL,80.0306,10406.5013,13.2873,0.0013,419.7886
2002-03-26,2002-03-26,134,0,NDAY,77.3527,PNL,77.8638,10419.7886,68.4809,0.0066,488.2695
2002-04-16,2002-04-16,137,0,NDAY,76.1126,PNL,77.1347,10488.2695,140.0281,0.0134,628.2976
2002-04-23,2002-05-01,140,6,NDAY,75.6969,EXPIRY,74.3955,10628.2976,-182.2015,-0.0171,446.0961
2002-05-07,2002-05-08,144,1,NDAY,72.2968,PNL,74.2796,10446.0961,285.5373,0.0273,731.6335
2002-05-21,2002-05-30,143,6,NDAY,75.0292,EXPIRY,72.91,10731.6335,-303.0351,-0.0282,428.5984
2002-06-04,2002-06-04,146,0,NDAY,70.968,PNL,71.2951,10428.5984,47.7526,0.0046,476.351
2002-07-02,2002-07-05,158,2,NDAY,66.2316,PNL,67.9069,10476.351,264.6947,0.0253,741.0457
2002-07-09,2002-07-17,160,6,NDAY,66.8265,EXPIRY,62.0468,10741.0457,-764.7466,-0.0712,-23.7009
2002-07-23,2002-07-24,176,1,NDAY,56.4466,PNL,57.9304,9976.2991,261.1513,0.0262,237.4504
2002-08-06,2002-08-06,175,0,NDAY,58.2791,PNL,59.2091,10237.4504,162.7412,0.0159,400.1916
2002-10-01,2002-10-01,183,0,NDAY,56.6172,PNL,58.877,10400.1916,413.5331,0.0398,813.7247
2002-10-08,2002-10-08,197,0,NDAY,54.8177,PNL,55.2024,10813.7247,75.7736,0.007,889.4983
2002-10-29,2002-10-30,177,1,NDAY,61.1848,PNL,61.4252,10889.4983,42.5447,0.0039,932.043
2002-11-05,2002-11-05,175,0,NDAY,62.3936,PNL,63.0874,10932.043,121.4011,0.0111,1053.4441
2002-11-12,2002-11-12,181,0,NDAY,60.8963,PNL,61.1024,11053.4441,37.2961,0.0034,1090.7402
2002-11-19,2002-11-19,179,0,NDAY,61.8305,PNL,62.064,11090.7402,41.8018,0.0038,1132.542
2002-12-03,2002-12-11,173,6,NDAY,64.049,EXPIRY,62.3524,11132.542,-293.5038,-0.0264,839.0382
2003-01-14,2003-01-14,169,0,NDAY,63.9772,PNL,64.4189,10839.0382,74.655,0.0069,913.6932
2003-01-21,2003-01-24,174,3,NDAY,62.721,STOP_OUT,59.6219,10913.6932,-539.2484,-0.0494,374.4448
2003-01-28,2003-01-28,175,0,NDAY,59.1042,PNL,59.2422,10374.4448,24.158,0.0023,398.6027
2003-02-25,2003-02-25,181,0,NDAY,57.2544,PNL,58.3035,10398.6027,189.8954,0.0183,588.4981
2003-03-04,2003-03-12,182,6,NDAY,57.9446,EXPIRY,55.9498,10588.4981,-363.0487,-0.0343,225.4494
2003-03-25,2003-03-25,170,0,NDAY,60.1117,PNL,60.6523,10225.4494,91.8932,0.009,317.3426
2003-04-01,2003-04-01,174,0,NDAY,59.0792,PNL,59.6266,10317.3426,95.2612,0.0092,412.6039
2003-04-08,2003-04-14,170,4,NDAY,61.1929,PNL,61.6433,10412.6039,76.5712,0.0074,489.1751
2003-04-22,2003-04-22,169,0,NDAY,61.7473,PNL,63.2996,10489.1751,262.3461,0.025,751.5212
2003-05-06,2003-05-06,166,0,NDAY,64.4777,PNL,65.0806,10751.5212,100.0846,0.0093,851.6058
2003-05-20,2003-05-22,168,2,NDAY,64.3252,PNL,64.845,10851.6058,87.3207,0.008,938.9265
2003-06-03,2003-06-03,162,0,NDAY,67.326,PNL,67.7418,10938.9265,67.3606,0.0062,1006.2872
2003-06-10,2003-06-10,161,0,NDAY,68.2338,PNL,68.7813,11006.2872,88.144,0.008,1094.4312
2003-06-24,2003-06-24,162,0,NDAY,68.3134,PNL,68.522,11094.4312,33.802,0.003,1128.2331
2003-07-01,2003-07-01,164,0,NDAY,67.6387,PNL,68.529,11128.2331,146.0023,0.0131,1274.2354
2003-07-15,2003-07-23,159,6,NDAY,70.5112,EXPIRY,69.0228,11274.2354,-236.6567,-0.021,1037.5787
2003-07-29,2003-08-05,158,5,NDAY,69.6488,STOP_OUT,67.0615,11037.5787,-408.7919,-0.037,628.7868
2003-09-16,2003-09-16,149,0,NDAY,71.1024,PNL,72.0413,10628.7868,139.9026,0.0132,768.6894
2003-09-23,2003-09-23,150,0,NDAY,71.6267,PNL,71.871,10768.6894,36.6546,0.0034,805.344
2003-10-28,2003-10-28,148,0,NDAY,72.5971,PNL,73.3372,10805.344,109.5311,0.0101,914.8751
2003-11-11,2003-11-11,148,0,NDAY,73.3722,PNL,73.4141,10914.8751,6.1999,0.0006,921.075
2003-12-16,2003-12-16,145,0,NDAY,75.1805,PNL,75.5156,10921.075,48.5936,0.0044,969.6686
2004-02-10,2004-02-10,136,0,NDAY,80.1655,PNL,80.5653,10969.6686,54.379,0.005,1024.0475
2004-02-17,2004-02-17,135,0,NDAY,81.2668,PNL,81.4913,11024.0475,30.3041,0.0027,1054.3516
2004-02-24,2004-02-24,137,0,NDAY,80.1585,PNL,80.2426,11054.3516,11.5324,0.001,1065.884
