Date,Close,InSignal,Entry,ExSignal,Exit,Position,StopLevel,MTM,Equity
2000-03-21,99.2964,,,,,,,0.0,10262.643
2000-03-22,99.8996,,,,,,,0.0,10262.643
2000-03-23,101.6051,,,,,,,0.0,10262.643
2000-03-24,102.2083,,,,,,,0.0,10262.643
2000-03-27,101.1267,,,,,,,0.0,10262.643
2000-03-28,100.5443,,,,,,,0.0,10262.643
2000-03-29,100.6483,LEX,100.8771,,,101.0,92.8142,-23.1081,10239.5349
2000-03-30,98.9636,,,,,101.0,92.8142,-193.2628,10069.3802
2000-03-31,100.0868,,,,,101.0,92.8142,-79.8297,10182.8133
2000-04-03,100.6692,,,,,101.0,92.8142,-21.0043,10241.6387
2000-04-04,99.9204,,,,,101.0,92.8142,-96.6341,10166.0089
2000-04-05,99.2964,,,,,101.0,92.8142,-159.6541,10102.9889
2000-04-06,100.1596,,,,,101.0,92.8142,-72.4709,10190.1721
2000-04-07,100.794,,,,,101.0,92.8142,-8.3995,10254.2435
2000-04-10,100.3988,,,,,101.0,92.8142,-48.3147,10214.3283
2000-04-11,100.1075,,,,,101.0,92.8142,-77.73,10184.9131
2000-04-12,97.3621,,,,,101.0,92.8142,-355.0214,9907.6216
2000-04-13,96.0101,,,EXPIRY,96.0101,101.0,92.8142,-491.5674,9771.0757
2000-04-14,90.5191,,,,,,,0.0,9771.0757
2000-04-17,93.6806,LEX,89.9783,PNL,93.6806,108.0,83.3395,399.8481,10170.9238
2000-04-18,96.1557,,,,,,,0.0,10170.9238
2000-04-19,95.2613,,,,,,,0.0,10170.9238
2000-04-20,95.719,,,,,,,0.0,10170.9238
2000-04-24,94.6789,,,,,,,0.0,10170.9238
2000-04-25,98.61,,,,,,,0.0,10170.9238
2000-04-26,97.4973,,,,,,,0.0,10170.9238
2000-04-27,97.1749,,,,,,,0.0,10170.9238
2000-04-28,96.5717,,,,,,,0.0,10170.9238
2000-05-01,97.8821,,,,,,,0.0,10170.9238
2000-05-02,95.9269,,,,,,,0.0,10170.9238
2000-05-03,93.6806,LEX,95.8437,,,106.0,86.1321,-229.2928,9941.6309
2000-05-04,94.3878,,,,,106.0,86.3041,-154.3349,10016.5888
2000-05-05,95.5317,,,,,106.0,86.6625,-33.0731,10137.8507
2000-05-08,94.8141,,,,,106.0,87.0724,-109.1397,10061.784
2000-05-09,94.055,,,,,106.0,87.2964,-189.6117,9981.312
2000-05-10,91.9334,,,,,106.0,87.3459,-414.495,9756.4288
2000-05-11,94.0342,,,,,106.0,87.4566,-191.8123,9979.1115
2000-05-12,95.0533,,,,,106.0,87.5964,-83.7835,10087.1403
2000-05-15,96.6965,,,PNL,96.6965,106.0,88.7298,90.3915,10261.3153
2000-05-16,97.6324,,,,,,,0.0,10261.3153
2000-05-17,96.6133,,,,,,,0.0,10261.3153
2000-05-18,95.4277,,,,,,,0.0,10261.3153
2000-05-19,93.9301,,,,,,,0.0,10261.3153
2000-05-22,93.223,LEX,94.0134,,,109.0,86.6551,-86.1512,10175.1641
2000-05-23,91.8502,,,,,109.0,86.6551,-235.7842,10025.5311
2000-05-24,93.3477,,,,,109.0,86.8632,-72.5523,10188.7629
2000-05-25,91.7462,,,,,109.0,87.0056,-247.118,10014.1972
2000-05-26,91.8502,,,,,109.0,87.0056,-235.7842,10025.5311
2000-05-30,94.8454,,,PNL,94.8454,109.0,87.5207,90.6882,10352.0035
2000-05-31,95.0533,,,,,,,0.0,10352.0035
2000-06-01,96.7173,,,,,,,0.0,10352.0035
2000-06-02,98.402,,,,,,,0.0,10352.0035
2000-06-05,97.9236,,,,,,,0.0,10352.0035
2000-06-06,97.4868,,,,,,,0.0,10352.0035
2000-06-07,98.1628,LEX,97.5909,PNL,98.1628,106.0,91.6528,60.6306,10412.6342
2000-06-08,97.778,,,,,,,0.0,10412.6342
2000-06-09,97.57,,,,,,,0.0,10412.6342
2000-06-12,96.4261,LEX,97.8196,,,106.0,91.3518,-147.7174,10264.9167
2000-06-13,98.2356,,,PNL,98.2356,106.0,91.981,44.0938,10456.728
2000-06-14,98.402,,,,,,,0.0,10456.728
2000-06-15,98.61,,,,,,,0.0,10456.728
2000-06-16,97.7998,,,,,,,0.0,10456.728
2000-06-19,99.0507,,,,,,,0.0,10456.728
2000-06-20,98.6963,,,,,,,0.0,10456.728
2000-06-21,98.6545,,,,,,,0.0,10456.728
2000-06-22,97.1535,,,,,,,0.0,10456.728
2000-06-23,96.3196,,,,,,,0.0,10456.728
2000-06-26,97.56,LEX,96.9867,PNL,97.56,107.0,92.0935,61.3467,10518.0747
